거래일자	종목명	거래수량	거래금액	거래세/농특세	정산금액	미수변제	예수금	대출상환금	담보대출상환금	매도담보상환금	신용거래구분(Hide)	세금합계	대출일	매체구분
	거래종류	거래단가	수수료	소득세/주민세	미수발생	연체변제	유가잔고	신용/대출이자	신용이자	매도담보상환이자	적요명(Hide)		상환차금	처리시간
2014-01-01			"18,839"		"15,949"		"8,423,374"							지점
	  예탁금이용료(이자)입금			"2,890"			0				예탁금이용료(이자)입금			7:12:43
2014-01-03	코리아써키트	140	"1,827,000"	"5,480"	"1,821,250"		"10,244,624"				보통매매			영웅문S
	보통매매  장내매도	"13,050.00"	270				0				장내매도			0:38:04
2014-01-06	SK텔레콤	15	"3,472,500"	"10,416"	"3,461,564"		"13,706,188"				보통매매			영웅문S
	보통매매  장내매도	"231,500.00"	520				18				장내매도			0:35:35
2014-01-06	코리아써키트	60	"750,000"				"13,706,188"				보통매매			영웅문S
	보통매매  장내매수	"12,500.00"					60				장내매수			0:35:35
2014-01-06	코리아써키트	50	"627,500"				"13,706,188"				보통매매			영웅문S
	보통매매  장내매수	"12,550.00"					110				장내매수			0:35:36
2014-01-06	코리아써키트	40	"504,000"				"13,706,188"				보통매매			영웅문S
	보통매매  장내매수	"12,600.00"					150				장내매수			0:35:36
2014-01-06	코리아써키트	60	"759,000"				"13,706,188"				보통매매			영웅문S
	보통매매  장내매수	"12,650.00"					210				장내매수			0:35:36
2014-01-06	코리아써키트	50	"635,000"				"13,706,188"				보통매매			영웅문S
	보통매매  장내매수	"12,700.00"					260				장내매수			0:35:36
2014-01-06	코리아써키트	40	"510,000"				"13,706,188"				보통매매			영웅문S
	보통매매  장내매수	"12,750.00"					300				장내매수			0:35:36
2014-01-06	코리아써키트	30	"384,000"		"4,170,120"		"9,536,068"				보통매매			영웅문S
	보통매매  장내매수	"12,800.00"	620				330				장내매수			0:35:36
2014-01-07	NAVER	1	"698,000"				"9,536,068"				보통매매			영웅문S
	보통매매  장내매수	"698,000.00"					68				장내매수			0:37:48
2014-01-07	NAVER	1	"699,000"				"9,536,068"				보통매매			영웅문S
	보통매매  장내매수	"699,000.00"					69				장내매수			0:37:48
2014-01-07	NAVER	1	"700,000"				"9,536,068"				보통매매			영웅문S
	보통매매  장내매수	"700,000.00"					70				장내매수			0:37:48
2014-01-07	NAVER	1	"701,000"				"9,536,068"				보통매매			영웅문S
	보통매매  장내매수	"701,000.00"					71				장내매수			0:37:48
2014-01-07	NAVER	1	"702,000"				"9,536,068"				보통매매			영웅문S
	보통매매  장내매수	"702,000.00"					72				장내매수			0:37:48
2014-01-07	NAVER	1	"704,000"				"9,536,068"				보통매매			영웅문S
	보통매매  장내매수	"704,000.00"					73				장내매수			0:37:48
2014-01-07	NAVER	1	"705,000"				"9,536,068"				보통매매			영웅문S
	보통매매  장내매수	"705,000.00"					74				장내매수			0:37:48
2014-01-07	NAVER	1	"706,000"				"9,536,068"				보통매매			영웅문S
	보통매매  장내매수	"706,000.00"					75				장내매수			0:37:48
2014-01-07	NAVER	1	"707,000"				"9,536,068"				보통매매			영웅문S
	보통매매  장내매수	"707,000.00"					76				장내매수			0:37:48
2014-01-07	NAVER	1	"708,000"				"9,536,068"				보통매매			영웅문S
	보통매매  장내매수	"708,000.00"					77				장내매수			0:37:48
2014-01-07	NAVER	1	"709,000"		"7,740,160"		"1,795,908"				보통매매			영웅문S
	보통매매  장내매수	"709,000.00"	"1,160"				78				장내매수			0:37:48
2014-01-08	KODEX인버스	30	"232,200"				"1,795,908"				보통매매			영웅문S
	보통매매  장내매수	"7,740.00"					210				장내매수			0:39:13
2014-01-08	KODEX인버스	20	"154,900"				"1,795,908"				보통매매			영웅문S
	보통매매  장내매수	"7,745.00"					230				장내매수			0:39:13
2014-01-08	KODEX인버스	20	"155,000"		"542,180"		"1,253,728"				보통매매			영웅문S
	보통매매  장내매수	"7,750.00"	80				250				장내매수			0:39:13
2014-01-09			"3,000,000"		"3,000,000"		"4,253,728"							영웅문S
	  이체입금						0				이체입금			17:50:50
2014-01-10	디지탈옵틱	20	"277,000"	831	"276,129"		"4,529,857"				보통매매			영웅문S
	보통매매  KOSDAQ매도	"13,850.00"	40				0				KOSDAQ매도			0:39:19
2014-01-10	NAVER	1	"686,000"				"4,529,857"				보통매매			영웅문S
	보통매매  장내매수	"686,000.00"					79				장내매수			0:39:19
2014-01-10	NAVER	1	"687,000"				"4,529,857"				보통매매			영웅문S
	보통매매  장내매수	"687,000.00"					80				장내매수			0:39:19
2014-01-10	NAVER	1	"690,000"				"4,529,857"				보통매매			영웅문S
	보통매매  장내매수	"690,000.00"					81				장내매수			0:39:19
2014-01-10	NAVER	1	"691,000"				"4,529,857"				보통매매			영웅문S
	보통매매  장내매수	"691,000.00"					82				장내매수			0:39:19
