거래일자	종목명	거래수량	거래금액	거래세/농특세	정산금액	미수변제	예수금	대출상환금	대출일	매체구분
	거래종류	거래단가	수수료	소득세/주민세	미수발생	연체변제	유가잔고	신용/대출이자	상환차금	처리시간
2013-11-07	쎌바이오텍	1	"18,400"				"52,749,746"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,400.00"					1			0:38:56
2013-11-07	쎌바이오텍	1	"18,450"				"52,749,746"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,450.00"					2			0:38:56
2013-11-07	쎌바이오텍	1	"18,500"		"55,350"		"52,694,396"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,500.00"					3			0:38:56
2013-11-12	쎌바이오텍	14	"259,000"				"48,081,844"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,500.00"					17			0:38:35
2013-11-12	쎌바이오텍	13	"241,150"				"48,081,844"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,550.00"					30			0:38:35
2013-11-12	쎌바이오텍	14	"260,400"				"48,081,844"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,600.00"					44			0:38:35
2013-11-12	쎌바이오텍	4	"74,600"		"835,270"		"47,246,574"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,650.00"	120				48			0:38:35
2013-11-13	쎌바이오텍	10	"180,000"				"52,733,052"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,000.00"					58			0:38:26
2013-11-13	쎌바이오텍	10	"181,500"				"52,733,052"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,150.00"					68			0:38:26
2013-11-13	쎌바이오텍	20	"365,000"				"52,733,052"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,250.00"					88			0:38:26
2013-11-13	쎌바이오텍	10	"183,500"				"52,733,052"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,350.00"					98			0:38:26
2013-11-13	쎌바이오텍	10	"184,500"				"52,733,052"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,450.00"					108			0:38:26
2013-11-13	쎌바이오텍	10	"185,000"				"52,733,052"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,500.00"					118			0:38:26
2013-11-13	쎌바이오텍	7	"129,850"				"52,733,052"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,550.00"					125			0:38:26
2013-11-13	쎌바이오텍	5	"93,000"		"1,502,570"		"51,230,482"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,600.00"	220				130			0:38:26
2013-11-20	쎌바이오텍	30	"550,500"				"51,319,642"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,350.00"					160			0:38:20
2013-11-20	쎌바이오텍	20	"368,000"				"51,319,642"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,400.00"					180			0:38:20
2013-11-20	쎌바이오텍	10	"184,500"				"51,319,642"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,450.00"					190			0:38:20
2013-11-20	쎌바이오텍	40	"740,000"				"51,319,642"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,500.00"					230			0:38:20
2013-11-20	쎌바이오텍	10	"185,500"		"2,028,800"		"49,290,842"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,550.00"	300				240			0:38:20
2013-11-21	쎌바이오텍	40	"722,000"				"49,141,952"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,050.00"					280			0:39:14
2013-11-21	쎌바이오텍	40	"724,000"				"49,141,952"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,100.00"					320			0:39:14
2013-11-21	쎌바이오텍	20	"364,000"				"49,141,952"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,200.00"					340			0:39:14
2013-11-21	쎌바이오텍	20	"365,000"		"2,175,320"		"46,966,632"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,250.00"	320				360			0:39:14
2013-11-25	쎌바이오텍	30	"535,500"				"45,829,482"			영웅문S(2015)
	보통매매 KOSDAQ매수	"17,850.00"					390			0:36:16
2013-11-25	쎌바이오텍	30	"537,000"				"45,829,482"			영웅문S(2015)
	보통매매 KOSDAQ매수	"17,900.00"					420			0:36:16
2013-11-25	쎌바이오텍	20	"359,000"				"45,829,482"			영웅문S(2015)
	보통매매 KOSDAQ매수	"17,950.00"					440			0:36:16
2013-11-25	쎌바이오텍	10	"180,000"		"1,611,740"		"44,217,742"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,000.00"	240				450			0:36:16
2013-11-26	쎌바이오텍	20	"352,000"				"39,687,082"			영웅문S(2015)
	보통매매 KOSDAQ매수	"17,600.00"					470			0:39:07
2013-11-26	쎌바이오텍	20	"353,000"				"39,687,082"			영웅문S(2015)
	보통매매 KOSDAQ매수	"17,650.00"					490			0:39:07
2013-11-26	쎌바이오텍	10	"177,000"		"882,130"		"38,804,952"			영웅문S(2015)
	보통매매 KOSDAQ매수	"17,700.00"	130				500			0:39:07
2013-11-29	쎌바이오텍	20	"360,000"		"360,050"		"36,407,270"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,000.00"	50				520			0:38:10
2013-12-03	쎌바이오텍	50	"922,500"				"37,168,640"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,450.00"					570			0:37:55
2013-12-03	쎌바이오텍	20	"370,000"				"37,168,640"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,500.00"					590			0:37:55
2013-12-03	쎌바이오텍	20	"371,000"		"1,663,740"		"35,504,900"			영웅문S(2015)
	보통매매 KOSDAQ매수	"18,550.00"	240				610			0:37:55
2013-12-05	쎌바이오텍	10	"194,500"				"30,738,940"			영웅문S(2015)
	보통매매 KOSDAQ매수	"19,450.00"					620			0:38:09
2013-12-05	쎌바이오텍	10	"195,000"				"30,738,940"			영웅문S(2015)
	보통매매 KOSDAQ매수	"19,500.00"					630			0:38:09
2013-12-05	쎌바이오텍	10	"195,500"				"30,738,940"			영웅문S(2015)
	보통매매 KOSDAQ매수	"19,550.00"					640			0:38:09
2013-12-05	쎌바이오텍	10	"196,000"		"781,110"		"29,957,830"			영웅문S(2015)
	보통매매 KOSDAQ매수	"19,600.00"	110				650			0:38:09
2013-12-09	쎌바이오텍	10	"192,500"				"22,794,270"			영웅문S(2015)
	보통매매 KOSDAQ매수	"19,250.00"					660			0:35:40
2013-12-09	쎌바이오텍	10	"193,000"				"22,794,270"			영웅문S(2015)
	보통매매 KOSDAQ매수	"19,300.00"					670			0:35:40
2013-12-09	쎌바이오텍	10	"193,500"		"579,080"		"22,215,190"			영웅문S(2015)
	보통매매 KOSDAQ매수	"19,350.00"	80				680			0:35:40
2013-12-11	쎌바이오텍	30	"591,000"				"20,763,980"			영웅문S(2015)
	보통매매 KOSDAQ매수	"19,700.00"					710			0:38:13
2013-12-11	쎌바이오텍	20	"395,000"				"20,763,980"			영웅문S(2015)
	보통매매 KOSDAQ매수	"19,750.00"					730			0:38:13
2013-12-11	쎌바이오텍	60	"1,188,000"				"20,763,980"			영웅문S(2015)
	보통매매 KOSDAQ매수	"19,800.00"					790			0:38:13
2013-12-11	쎌바이오텍	40	"794,000"				"20,763,980"			영웅문S(2015)
	보통매매 KOSDAQ매수	"19,850.00"					830			0:38:13
2013-12-11	쎌바이오텍	20	"398,000"		"3,366,500"		"17,397,480"			영웅문S(2015)
	보통매매 KOSDAQ매수	"19,900.00"	500				850			0:38:13
2013-12-12	쎌바이오텍	100	"1,845,000"	"5,535"	"1,839,195"		"13,360,805"			영웅문S(2015)
	보통매매 KOSDAQ매도	"18,450.00"	270				750			0:38:25
2013-12-18	쎌바이오텍	10	"197,500"				"6,746,825"			영웅문S(2015)
	보통매매 KOSDAQ매수	"19,750.00"					760			0:38:41
2013-12-18	쎌바이오텍	10	"198,500"		"396,050"		"6,350,775"			영웅문S(2015)
	보통매매 KOSDAQ매수	"19,850.00"	50				770			0:38:41
2013-12-19	쎌바이오텍	10	"192,500"				"13,819,205"			영웅문S(2015)
	보통매매 KOSDAQ매수	"19,250.00"					780			0:39:05
2013-12-19	쎌바이오텍	20	"387,000"				"13,819,205"			영웅문S(2015)
	보통매매 KOSDAQ매수	"19,350.00"					800			0:39:05
2013-12-19	쎌바이오텍	20	"388,000"				"13,819,205"			영웅문S(2015)
	보통매매 KOSDAQ매수	"19,400.00"					820			0:39:05
2013-12-19	쎌바이오텍	20	"389,000"				"13,819,205"			영웅문S(2015)
	보통매매 KOSDAQ매수	"19,450.00"					840			0:39:06
2013-12-19	쎌바이오텍	10	"195,000"		"1,551,730"		"12,267,475"			영웅문S(2015)
	보통매매 KOSDAQ매수	"19,500.00"	230				850			0:39:06
2014-01-28	쎌바이오텍	5	"104,000"				"9,815,986"			영웅문S(2015)
	보통매매 KOSDAQ매수	"20,800.00"					855			0:40:09
2014-01-28	쎌바이오텍	5	"104,250"				"9,815,986"			영웅문S(2015)
	보통매매 KOSDAQ매수	"20,850.00"					860			0:40:10
2014-01-28	쎌바이오텍	5	"104,500"		"312,790"		"9,503,196"			영웅문S(2015)
	보통매매 KOSDAQ매수	"20,900.00"	40				865			0:40:10
2014-01-29	쎌바이오텍	15	"299,250"				"2,943,096"			영웅문S(2015)
	보통매매 KOSDAQ매수	"19,950.00"					880			0:39:17
2014-01-29	쎌바이오텍	20	"402,000"				"2,943,096"			영웅문S(2015)
	보통매매 KOSDAQ매수	"20,100.00"					900			0:39:17
2014-01-29	쎌바이오텍	10	"201,500"				"2,943,096"			영웅문S(2015)
	보통매매 KOSDAQ매수	"20,150.00"					910			0:39:17
2014-01-29	쎌바이오텍	20	"404,000"		"1,306,940"		"1,636,156"			영웅문S(2015)
	보통매매 KOSDAQ매수	"20,200.00"	190				930			0:39:17
2014-02-12	쎌바이오텍	10	"226,000"				"995,128"			영웅문S(2015)
	보통매매 KOSDAQ매수	"22,600.00"					940			0:39:50
2014-02-12	쎌바이오텍	10	"226,500"				"995,128"			영웅문S(2015)
	보통매매 KOSDAQ매수	"22,650.00"					950			0:39:50
2014-02-12	쎌바이오텍	10	"227,000"		"679,600"		"315,528"			영웅문S(2015)
	보통매매 KOSDAQ매수	"22,700.00"	100				960			0:39:51
2014-02-14	쎌바이오텍	20	"453,000"				"1,013,328"			영웅문S(2015)
	보통매매 KOSDAQ매수	"22,650.00"					980			0:39:19
2014-02-14	쎌바이오텍	10	"227,000"				"1,013,328"			영웅문S(2015)
	보통매매 KOSDAQ매수	"22,700.00"					990			0:39:19
2014-02-14	쎌바이오텍	10	"227,500"		"907,630"		"105,698"			영웅문S(2015)
	보통매매 KOSDAQ매수	"22,750.00"	130				"1,000"			0:39:19
2014-02-18	쎌바이오텍	40	"908,000"				"3,432,202"			영웅문S(2015)
	보통매매 KOSDAQ매수	"22,700.00"					"1,040"			0:39:50
2014-02-18	쎌바이오텍	30	"682,500"				"3,432,202"			영웅문S(2015)
	보통매매 KOSDAQ매수	"22,750.00"					"1,070"			0:39:50
2014-02-18	쎌바이오텍	20	"456,000"				"3,432,202"			영웅문S(2015)
	보통매매 KOSDAQ매수	"22,800.00"					"1,090"			0:39:50
2014-02-18	쎌바이오텍	30	"685,500"		"2,732,400"		"699,802"			영웅문S(2015)
	보통매매 KOSDAQ매수	"22,850.00"	400				"1,120"			0:39:50
2014-02-21	쎌바이오텍	10	"223,500"				"7,783,438"			영웅문S(2015)
	보통매매 KOSDAQ매수	"22,350.00"					"1,130"			0:39:58
2014-02-21	쎌바이오텍	10	"224,000"				"7,783,438"			영웅문S(2015)
	보통매매 KOSDAQ매수	"22,400.00"					"1,140"			0:39:58
2014-02-21	쎌바이오텍	5	"112,250"				"7,783,438"			영웅문S(2015)
	보통매매 KOSDAQ매수	"22,450.00"					"1,145"			0:39:58
2014-02-21	쎌바이오텍	5	"112,500"		"672,350"		"7,111,088"			영웅문S(2015)
	보통매매 KOSDAQ매수	"22,500.00"	100				"1,150"			0:39:58
2014-03-04	쎌바이오텍	20	"540,000"				"11,224,322"			영웅문S(2015)
	보통매매 KOSDAQ매수	"27,000.00"					"1,170"			0:38:08
2014-03-04	쎌바이오텍	40	"1,084,000"				"11,224,322"			영웅문S(2015)
	보통매매 KOSDAQ매수	"27,100.00"					"1,210"			0:38:08
2014-03-04	쎌바이오텍	20	"543,000"				"11,224,322"			영웅문S(2015)
	보통매매 KOSDAQ매수	"27,150.00"					"1,230"			0:38:08
2014-03-04	쎌바이오텍	40	"1,088,000"				"11,224,322"			영웅문S(2015)
	보통매매 KOSDAQ매수	"27,200.00"					"1,270"			0:38:08
2014-03-04	쎌바이오텍	50	"1,362,500"				"11,224,322"			영웅문S(2015)
	보통매매 KOSDAQ매수	"27,250.00"					"1,320"			0:38:08
2014-03-04	쎌바이오텍	40	"1,092,000"				"11,224,322"			영웅문S(2015)
	보통매매 KOSDAQ매수	"27,300.00"					"1,360"			0:38:08
2014-03-04	쎌바이오텍	20	"547,000"		"6,257,430"		"4,966,892"			영웅문S(2015)
	보통매매 KOSDAQ매수	"27,350.00"	930				"1,380"			0:38:08
2014-03-05	쎌바이오텍	3	"80,700"				"10,184,635"			영웅문S(2015)
	보통매매 KOSDAQ매수	"26,900.00"					"1,383"			0:38:37
2014-03-05	쎌바이오텍	7	"193,900"		"274,640"		"9,909,995"			영웅문S(2015)
	보통매매 KOSDAQ매수	"27,700.00"	40				"1,390"			0:38:37
2014-03-07	쎌바이오텍	10	"282,500"				"14,079,023"			영웅문S(2015)
	보통매매 KOSDAQ매수	"28,250.00"					"1,400"			0:37:52
2014-03-07	쎌바이오텍	10	"283,000"				"14,079,023"			영웅문S(2015)
	보통매매 KOSDAQ매수	"28,300.00"					"1,410"			0:37:52
2014-03-07	쎌바이오텍	20	"567,000"				"14,079,023"			영웅문S(2015)
	보통매매 KOSDAQ매수	"28,350.00"					"1,430"			0:37:52
2014-03-07	쎌바이오텍	20	"568,000"				"14,079,023"			영웅문S(2015)
	보통매매 KOSDAQ매수	"28,400.00"					"1,450"			0:37:52
2014-03-07	쎌바이오텍	20	"569,000"				"14,079,023"			영웅문S(2015)
	보통매매 KOSDAQ매수	"28,450.00"					"1,470"			0:37:52
2014-03-07	쎌바이오텍	20	"570,000"				"14,079,023"			영웅문S(2015)
	보통매매 KOSDAQ매수	"28,500.00"					"1,490"			0:37:52
2014-03-07	쎌바이오텍	10	"285,500"				"14,079,023"			영웅문S(2015)
	보통매매 KOSDAQ매수	"28,550.00"					"1,500"			0:37:52
2014-03-07	쎌바이오텍	10	"286,000"		"3,411,510"		"10,667,513"			영웅문S(2015)
	보통매매 KOSDAQ매수	"28,600.00"	510				"1,510"			0:37:53
2014-03-10	쎌바이오텍	10	"278,000"				"19,174,403"			영웅문S(2015)
	보통매매 KOSDAQ매수	"27,800.00"					"1,520"			0:36:14
2014-03-10	쎌바이오텍	10	"278,500"				"19,174,403"			영웅문S(2015)
	보통매매 KOSDAQ매수	"27,850.00"					"1,530"			0:36:14
2014-03-10	쎌바이오텍	10	"279,000"				"19,174,403"			영웅문S(2015)
	보통매매 KOSDAQ매수	"27,900.00"					"1,540"			0:36:14
2014-03-10	쎌바이오텍	10	"279,500"				"19,174,403"			영웅문S(2015)
	보통매매 KOSDAQ매수	"27,950.00"					"1,550"			0:36:14
2014-03-10	쎌바이오텍	10	"280,000"				"19,174,403"			영웅문S(2015)
	보통매매 KOSDAQ매수	"28,000.00"					"1,560"			0:36:14
2014-03-10	쎌바이오텍	10	"280,500"				"19,174,403"			영웅문S(2015)
	보통매매 KOSDAQ매수	"28,050.00"					"1,570"			0:36:14
2014-03-10	쎌바이오텍	10	"281,000"				"19,174,403"			영웅문S(2015)
	보통매매 KOSDAQ매수	"28,100.00"					"1,580"			0:36:14
2014-03-10	쎌바이오텍	10	"281,500"				"19,174,403"			영웅문S(2015)
	보통매매 KOSDAQ매수	"28,150.00"					"1,590"			0:36:14
2014-03-10	쎌바이오텍	10	"282,000"				"19,174,403"			영웅문S(2015)
