거래일자	종목명	거래수량	거래금액	거래세/농특세	정산금액	미수변제	예수금	대출상환금	대출일	매체구분
	거래종류	거래단가	수수료	소득세/주민세	미수발생	연체변제	유가잔고	신용/대출이자	상환차금	처리시간
2013-09-12	경동나비엔	10	"184,500"		"184,520"		"21,472,746"			영웅문3
	보통매매 장내매수	"18,450.00"	20				10			0:54:59
2013-09-13	경동나비엔	20	"370,000"				"12,067,846"			영웅문3
	보통매매 장내매수	"18,500.00"					30			0:54:54
2013-09-13	경동나비엔	20	"371,000"				"12,067,846"			영웅문3
	보통매매 장내매수	"18,550.00"					50			0:54:54
2013-09-13	경동나비엔	20	"372,000"		"1,113,160"		"10,954,686"			영웅문3
	보통매매 장내매수	"18,600.00"	160				70			0:54:54
2013-09-13	경동나비엔	10	"186,000"		"186,020"		"10,768,666"			영웅문S(2015)
	보통매매 장내매수	"18,600.00"	20				80			0:54:54
2013-09-16	경동나비엔	10	"187,500"				"2,672,404"			영웅문3
	보통매매 장내매수	"18,750.00"					90			20:55:24
2013-09-16	경동나비엔	20	"376,000"				"2,672,404"			영웅문3
	보통매매 장내매수	"18,800.00"					110			20:55:24
2013-09-16	경동나비엔	20	"379,000"		"942,640"		"1,729,764"			영웅문3
	보통매매 장내매수	"18,950.00"	140				130			20:55:24
2013-09-17	경동나비엔	50	"932,500"				"10,341,574"			영웅문S(2015)
	보통매매 장내매수	"18,650.00"					180			0:47:29
2013-09-17	경동나비엔	40	"748,000"				"10,341,574"			영웅문S(2015)
	보통매매 장내매수	"18,700.00"					220			0:47:29
2013-09-17	경동나비엔	20	"375,000"		"2,055,800"		"8,285,774"			영웅문S(2015)
	보통매매 장내매수	"18,750.00"	300				240			0:47:29
2013-09-23	경동나비엔	10	"185,000"				"11,129,790"			영웅문S(2015)
	보통매매 장내매수	"18,500.00"					250			0:46:02
2013-09-23	경동나비엔	10	"185,500"				"11,129,790"			영웅문S(2015)
	보통매매 장내매수	"18,550.00"					260			0:46:02
2013-09-23	경동나비엔	10	"186,000"				"11,129,790"			영웅문S(2015)
	보통매매 장내매수	"18,600.00"					270			0:46:02
2013-09-23	경동나비엔	10	"186,500"				"11,129,790"			영웅문S(2015)
	보통매매 장내매수	"18,650.00"					280			0:46:02
2013-09-23	경동나비엔	10	"187,000"				"11,129,790"			영웅문S(2015)
	보통매매 장내매수	"18,700.00"					290			0:46:02
2013-09-23	경동나비엔	10	"187,500"		"1,117,660"		"10,012,130"			영웅문S(2015)
	보통매매 장내매수	"18,750.00"	160				300			0:46:02
2013-10-14	경동나비엔	100	"1,815,000"				"12,755,732"			영웅문3
	보통매매 장내매도	"18,150.00"					200			1:07:39
2013-10-14	경동나비엔	100	"1,820,000"	"10,904"	"3,623,556"		"16,379,288"			영웅문3
	보통매매 장내매도	"18,200.00"	540				100			1:07:39
2013-11-01	경동나비엔	40	"718,000"				"60,601,154"			영웅문S(2015)
	보통매매 장내매수	"17,950.00"					140			1:01:07
2013-11-01	경동나비엔	60	"1,080,000"				"60,601,154"			영웅문S(2015)
	보통매매 장내매수	"18,000.00"					200			1:01:07
2013-11-01	경동나비엔	40	"722,000"				"60,601,154"			영웅문S(2015)
	보통매매 장내매수	"18,050.00"					240			1:01:07
2013-11-01	경동나비엔	60	"1,086,000"		"3,606,540"		"56,994,614"			영웅문S(2015)
	보통매매 장내매수	"18,100.00"	540				300			1:01:07
2013-11-04	경동나비엔	40	"720,000"		"720,100"		"54,143,604"			영웅문S(2015)
	보통매매 장내매수	"18,000.00"	100				340			0:35:54
2013-11-07	경동나비엔	20	"361,000"				"52,258,836"			영웅문S(2015)
	보통매매 장내매수	"18,050.00"					360			0:38:56
2013-11-07	경동나비엔	30	"543,000"				"52,258,836"			영웅문S(2015)
	보통매매 장내매수	"18,100.00"					390			0:38:57
2013-11-07	경동나비엔	30	"544,500"				"52,258,836"			영웅문S(2015)
	보통매매 장내매수	"18,150.00"					420			0:38:57
2013-11-07	경동나비엔	20	"364,000"				"52,258,836"			영웅문S(2015)
	보통매매 장내매수	"18,200.00"					440			0:38:57
2013-11-07	경동나비엔	20	"365,000"				"52,258,836"			영웅문S(2015)
	보통매매 장내매수	"18,250.00"					460			0:38:57
2013-11-07	경동나비엔	10	"183,000"		"2,360,850"		"49,897,986"			영웅문S(2015)
	보통매매 장내매수	"18,300.00"	350				470			0:38:57
2013-11-12	경동나비엔	10	"179,000"				"46,891,024"			영웅문S(2015)
	보통매매 장내매수	"17,900.00"					480			0:38:35
2013-11-12	경동나비엔	10	"179,500"				"46,891,024"			영웅문S(2015)
	보통매매 장내매수	"17,950.00"					490			0:38:35
2013-11-12	경동나비엔	10	"180,000"		"538,580"		"46,352,444"			영웅문S(2015)
	보통매매 장내매수	"18,000.00"	80				500			0:38:35
2013-11-13	경동나비엔	10	"176,500"				"50,733,412"			영웅문S(2015)
	보통매매 장내매수	"17,650.00"					510			0:38:26
2013-11-13	경동나비엔	10	"177,000"				"50,733,412"			영웅문S(2015)
	보통매매 장내매수	"17,700.00"					520			0:38:26
2013-11-13	경동나비엔	10	"177,500"		"531,070"		"50,202,342"			영웅문S(2015)
	보통매매 장내매수	"17,750.00"	70				530			0:38:26
2013-11-28	경동나비엔	20	"376,000"				"40,851,920"			영웅문S(2015)
	보통매매 장내매수	"18,800.00"					550			0:38:25
2013-11-28	경동나비엔	10	"188,500"		"564,580"		"40,287,340"			영웅문S(2015)
	보통매매 장내매수	"18,850.00"	80				560			0:38:25
2013-12-04	경동나비엔	30	"553,500"				"26,097,510"			영웅문S(2015)
	보통매매 장내매수	"18,450.00"					590			0:38:20
2013-12-04	경동나비엔	20	"370,000"				"26,097,510"			영웅문S(2015)
	보통매매 장내매수	"18,500.00"					610			0:38:20
2013-12-04	경동나비엔	10	"185,500"		"1,109,160"		"24,988,350"			영웅문S(2015)
	보통매매 장내매수	"18,550.00"	160				620			0:38:20
2013-12-09	경동나비엔	20	"371,000"				"22,215,190"			영웅문S(2015)
	보통매매 장내매수	"18,550.00"					640			0:35:40
2013-12-09	경동나비엔	10	"186,000"		"557,080"		"21,658,110"			영웅문S(2015)
	보통매매 장내매수	"18,600.00"	80				650			0:35:40
2013-12-10	경동나비엔	20	"357,000"				"21,658,110"			영웅문S(2015)
	보통매매 장내매수	"17,850.00"					670			0:38:08
2013-12-10	경동나비엔	30	"537,000"		"894,130"		"20,763,980"			영웅문S(2015)
	보통매매 장내매수	"17,900.00"	130				700			0:38:08
2013-12-11	경동나비엔	40	"696,000"		"696,100"		"16,701,380"			영웅문S(2015)
	보통매매 장내매수	"17,400.00"	100				740			0:38:13
2013-12-19	경동나비엔	20	"356,000"				"12,267,475"			영웅문S(2015)
	보통매매 장내매수	"17,800.00"					760			0:39:06
2013-12-19	경동나비엔	10	"178,500"				"12,267,475"			영웅문S(2015)
	보통매매 장내매수	"17,850.00"					770			0:39:06
2013-12-19	경동나비엔	10	"179,000"		"713,600"		"11,553,875"			영웅문S(2015)
	보통매매 장내매수	"17,900.00"	100				780			0:39:06
2014-01-16	경동나비엔	10	"177,000"		"177,020"		"214,434"			영웅문S(2015)
	보통매매 장내매수	"17,700.00"	20				790			0:39:38
2014-01-27	경동나비엔	10	"188,000"		"188,020"		"8,671,668"			영웅문S(2015)
	보통매매 장내매수	"18,800.00"	20				800			0:38:09
2014-01-28	경동나비엔	10	"182,500"				"9,503,196"			영웅문S(2015)
	보통매매 장내매수	"18,250.00"					810			0:40:10
2014-01-28	경동나비엔	10	"183,500"				"9,503,196"			영웅문S(2015)
	보통매매 장내매수	"18,350.00"					820			0:40:10
2014-01-28	경동나비엔	10	"184,000"		"550,080"		"8,953,116"			영웅문S(2015)
	보통매매 장내매수	"18,400.00"	80				830			0:40:10
2014-02-06	경동나비엔	20	"372,000"				"2,502,140"			영웅문S(2015)
	보통매매 장내매수	"18,600.00"					850			0:39:44
2014-02-06	경동나비엔	20	"373,000"				"2,502,140"			영웅문S(2015)
	보통매매 장내매수	"18,650.00"					870			0:39:44
2014-02-06	경동나비엔	20	"374,000"		"1,119,160"		"1,382,980"			영웅문S(2015)
	보통매매 장내매수	"18,700.00"	160				890			0:39:44
2014-02-07	경동나비엔	10	"189,000"		"189,020"		"296,330"			영웅문S(2015)
	보통매매 장내매수	"18,900.00"	20				900			0:39:25
2014-02-26	경동나비엔	10	"182,000"		"182,020"		"6,184,958"			영웅문S(2015)
	보통매매 장내매수	"18,200.00"	20				910			0:40:36
2014-03-26	경동나비엔	30	"622,500"				"3,411,592"			영웅문S(2015)
	보통매매 장내매수	"20,750.00"					940			0:39:31
2014-03-26	경동나비엔	20	"416,000"				"3,411,592"			영웅문S(2015)
	보통매매 장내매수	"20,800.00"					960			0:39:31
2014-03-26	경동나비엔	20	"417,000"				"3,411,592"			영웅문S(2015)
	보통매매 장내매수	"20,850.00"					980			0:39:31
2014-03-26	경동나비엔	20	"418,000"				"3,411,592"			영웅문S(2015)
	보통매매 장내매수	"20,900.00"					"1,000"			0:39:31
2014-03-26	경동나비엔	20	"419,000"				"3,411,592"			영웅문S(2015)
	보통매매 장내매수	"20,950.00"					"1,020"			0:39:31
2014-03-26	경동나비엔	20	"420,000"				"3,411,592"			영웅문S(2015)
	보통매매 장내매수	"21,000.00"					"1,040"			0:39:31
2014-03-26	경동나비엔	10	"210,500"		"2,923,430"		"488,162"			영웅문S(2015)
	보통매매 장내매수	"21,050.00"	430				"1,050"			0:39:31
2014-03-27	경동나비엔	50	"1,037,500"				"-1,229,588"			영웅문S(2015)
	보통매매 장내매수	"20,750.00"					"1,100"			0:40:13
2014-03-27	경동나비엔	30	"624,000"		"1,661,740"		"-2,891,328"			영웅문S(2015)
	보통매매 장내매수	"20,800.00"	240		"1,661,740"		"1,130"			0:40:13
2014-04-08	경동나비엔		"78,000"		"65,990"		"117,882"			지점
	 배당금입금			"12,010"			0			15:05:03
2014-04-09	경동나비엔	10	"202,000"				"-1,244,468"			영웅문S(2015)
	보통매매 장내매수	"20,200.00"					"1,140"			0:38:07
2014-04-09	경동나비엔	20	"405,000"				"-1,244,468"			영웅문S(2015)
	보통매매 장내매수	"20,250.00"					"1,160"			0:38:07
2014-04-09	경동나비엔	10	"203,000"				"-1,244,468"			영웅문S(2015)
	보통매매 장내매수	"20,300.00"					"1,170"			0:38:07
2014-04-09	경동나비엔	10	"203,500"		"1,013,650"		"-2,258,118"			영웅문S(2015)
	보통매매 장내매수	"20,350.00"	150		"1,013,650"		"1,180"			0:38:07
2014-04-11	경동나비엔	10	"203,000"				"3,397,602"			영웅문S(2015)
	보통매매 장내매수	"20,300.00"					"1,190"			0:40:01
2014-04-11	경동나비엔	10	"203,500"		"406,560"		"2,991,042"			영웅문S(2015)
	보통매매 장내매수	"20,350.00"	60				"1,200"			0:40:01
2014-04-18	경동나비엔	10	"215,500"				"6,222,155"			영웅문S(2015)
	보통매매 장내매수	"21,550.00"					"1,210"			0:39:24
2014-04-18	경동나비엔	10	"216,000"				"6,222,155"			영웅문S(2015)
	보통매매 장내매수	"21,600.00"					"1,220"			0:39:24
2014-04-18	경동나비엔	10	"216,500"				"6,222,155"			영웅문S(2015)
	보통매매 장내매수	"21,650.00"					"1,230"			0:39:24
2014-04-18	경동나비엔	10	"217,000"		"865,120"		"5,357,035"			영웅문S(2015)
	보통매매 장내매수	"21,700.00"	120				"1,240"			0:39:24
2014-04-21	경동나비엔	20	"430,000"				"1,182,353"			영웅문S(2015)
	보통매매 장내매수	"21,500.00"					"1,260"			0:37:15
2014-04-21	경동나비엔	10	"215,500"				"1,182,353"			영웅문S(2015)
	보통매매 장내매수	"21,550.00"					"1,270"			0:37:15
2014-04-21	경동나비엔	10	"216,000"		"861,620"		"320,733"			영웅문S(2015)
	보통매매 장내매수	"21,600.00"	120				"1,280"			0:37:15
2014-04-23	경동나비엔	10	"234,500"				"2,178,063"			영웅문S(2015)
	보통매매 장내매수	"23,450.00"					"1,290"			0:39:01
2014-04-23	경동나비엔	10	"235,000"		"469,570"		"1,708,493"			영웅문S(2015)
	보통매매 장내매수	"23,500.00"	70				"1,300"			0:39:01
2014-04-25	경동나비엔	10	"240,000"				"8,265,983"			영웅문S(2015)
	보통매매 장내매수	"24,000.00"					"1,310"			0:39:22
2014-04-25	경동나비엔	10	"240,500"				"8,265,983"			영웅문S(2015)
	보통매매 장내매수	"24,050.00"					"1,320"			0:39:22
2014-04-25	경동나비엔	20	"482,000"				"8,265,983"			영웅문S(2015)
	보통매매 장내매수	"24,100.00"					"1,340"			0:39:22
2014-04-25	경동나비엔	20	"483,000"				"8,265,983"			영웅문S(2015)
	보통매매 장내매수	"24,150.00"					"1,360"			0:39:22
2014-04-25	경동나비엔	20	"484,000"				"8,265,983"			영웅문S(2015)
	보통매매 장내매수	"24,200.00"					"1,380"			0:39:22
2014-04-25	경동나비엔	10	"242,500"				"8,265,983"			영웅문S(2015)
	보통매매 장내매수	"24,250.00"					"1,390"			0:39:22
